TIC_ID,Teff,e_Teff,ra,dec,d,e_d
256414077,6747,308.496,15.60652089,60.71553077,377.17,18.481
468574941,6081,137.651,16.184842,74.33134841,289.668,2.208
53617134,7014,163.859,17.67984158,65.2496593,281.184,2.458
53709089,9387,,17.73673708,61.09210831,359.404,
435680451,6156,262.277,17.91396521,79.16558516,174.195,0.763
240968774,3834,157,19.11392939,49.23377998,37.4418,0.05465
332154944,6082,141.449,19.27813051,57.5143415,143.575,0.636
288348498,6745.47,110.125,19.70045204,41.50618363,313.229,5.0305
241040309,8455.32,109.421,20.71737275,48.95539058,685.251,26.3785
241065596,7014.22,113.061,21.73619091,49.38865643,816.238,26.308
422756130,3575,157,21.92071933,72.29644054,45.1309,0.06805
44631965,6046,127.034,22.23622505,35.86481371,359.959,15.2915
326919774,9146,140.155,22.97300855,46.39984536,519.941,18.4675
327011842,4975,122,23.4667796,45.01032386,493.702,14.842
389900760,3179,157,23.50413325,65.51491568,32.1755,0.05285
327341626,6820,128.846,24.69043971,42.67778351,441.44,22.9885
71854745,9225,159.267,26.29941839,54.568457,749.127,37.15
395393265,6688,148.615,26.33840899,77.79017317,303.006,3.0795
354400186,8884,144.264,27.737993,48.35234601,524.755,26.8925
370759867,5865,139.629,28.16321411,55.18603371,124.547,0.631
354469661,6333,152.212,28.2823863,52.05389438,233.22,2.657
67418624,6204,130.344,28.6604017,37.00512442,143.239,1.33
241076290,9035,204.171,29.03283093,52.58550296,560.222,22.793
292321872,6473,122.325,31.90220787,45.50017206,505.331,16.141
184679932,6198,125.762,32.29399702,40.40200504,146.653,0.8685
250724252,9078,,33.50522978,53.12154035,574.869,
118301361,7249.79,123.061,34.19582277,29.57049657,380.062,7.3015
348135793,6742,155.996,34.37694424,56.42151394,341.514,4.847
187029841,6280.37,133.105,34.55592213,38.4788914,252.419,10.38
374400599,7492,135.133,34.69793518,64.35639479,386.181,4.9215
348673213,3896,157,35.80715835,56.57016427,153.986,0.6375
129979528,7308,121.237,36.71274281,37.55048271,121.944,0.9905
129991079,6175.85,111.286,37.13230712,40.89136134,208.771,3.0245
286355915,6531.44,109.703,37.89326055,34.36891594,374.442,6.276
249862365,6208,172.885,38.12272439,52.70428905,184.69,1.2895
73448352,6739.04,107.476,38.3081438,30.36049994,282.096,4.751
139375960,5917,125.808,38.36144512,41.01343581,336.608,8.1935
249945230,4582,131.029,38.80945339,48.27418638,51.0409,0.10865
245462406,6777,159.742,38.82164151,55.70324976,551.666,10.336
50120414,9503,123,39.89113252,62.43331131,742.441,16.128
422923265,9898,151.436,40.24557529,42.87127624,769.138,112.928
51024887,2990,158,42.15414606,62.18970895,41.5305,0.15765
302773669,5969,136.663,42.43536123,71.75323117,78.0863,0.239
408618999,5656,122.561,43.43502024,69.10140701,88.9482,0.32085
285666479,6549,141.9,43.61067544,52.07104753,755.795,20.5135
269892793,4769,128.627,44.29282879,33.31268849,152.983,3.3105
396562848,3414,157,44.3260797,76.55312508,18.2276,0.011
68152139,6001,133.387,44.40199474,40.01676158,226.234,3.595
251384275,8494,,44.7202702,58.73524977,328.658,
186599508,5719,130.029,45.08795382,39.06857162,170.592,1.987
376353509,4836,125.032,45.40098119,69.22990013,69.835,0.1643
192372961,6716.47,99.8456,45.59830853,43.18385293,550.183,12.998
81831095,7478,216.451,47.80666499,61.76239114,399.401,5.3
117322779,,,48.35226352,49.78375695,,
420645189,5937,142.24,48.36960452,75.26831593,158.493,0.8355
458914949,7846,210.444,48.42329364,61.90788292,563.997,11.627
82010657,7519,236.842,48.75292685,60.23823134,282.1,4.316
259151170,4503.48,105.673,50.3450229,52.69251221,86.1112,0.24515
138017750,6104.28,108.1,50.80058856,33.07838363,100.635,0.8968
385105624,6222.3,146.952,50.80800084,46.68218285,295.452,3.238
316254876,5551,296.84,51.98866849,54.86568631,248.563,2.359
285677945,6304,220.6,53.09897299,50.49903069,317.968,4.8455
285674856,8348,154.67,53.19629042,51.88456574,294.123,3.143
101037590,5597,146.529,54.48109736,33.07985947,159.748,1.5125
104208182,3948,157,54.50198098,50.95548595,142.042,0.498
201154493,9447,218.566,56.14331971,41.06437169,831.907,38.8525
431899140,7962.95,130.456,56.22254722,45.50719075,710.919,26.476
201186294,3455,157,56.39016879,37.11222224,35.2736,0.05265
125735470,5718,152.057,56.66028724,27.47161193,143.312,1.81
26433869,4963,122,56.81432491,30.14951252,329.591,7.032
87090944,5919.66,109.004,58.48597025,58.96859643,197.14,2.989
266500992,5411,153.899,61.17219242,52.2570638,165.314,0.987
73104318,5029.66,16.66,61.72147691,58.4655167,201.645,1.3645
102672709,6141,223.518,61.73104316,66.11962216,209.153,1.7115
103195323,7437,138.239,62.57304805,75.17090108,378.684,3.58
267694283,6324,127.626,63.23003749,53.68718555,106.477,0.6835
470315428,,,64.64835019,52.86494749,222.358,50.771
470381900,3181,157,65.28056346,48.81991372,64.9172,0.35625
85031598,4815,122,65.34580009,62.24575429,87.5878,0.34815
8400842,6673,150.433,65.46960174,57.81719224,213.053,2.691
286561122,7325.53,136.55,65.87624408,35.49516393,506.864,12.112
58542531,4402,126.062,65.97972838,27.82254642,51.1884,0.1389
27677846,5304,122.991,66.37050774,46.36586092,78.7137,0.33005
103448870,5734,157.223,66.8346835,73.0238567,124.854,0.461
28900646,3457,157,68.59373014,43.03741375,37.6153,0.07265
9837861,5235.54,16.3411,70.5485585,54.2920691,299.399,4.3855
156724719,,,72.03181425,39.9669663,408.36,
96291218,8001,,73.03483936,30.28040242,391.546,
121966220,5843,170.189,75.79773644,41.78583221,472.704,9.135
122485078,7719,139.895,76.85126646,36.27508847,463.156,9.894
367366318,6767.92,115.741,78.29553648,33.31816756,136.681,0.931
142090065,7072,131.169,79.07365908,79.73767064,182.907,1.2905
142117976,6495,126.093,81.23935333,79.7497734,110.177,0.329
321041369,5672.47,145.383,81.67135066,56.96359053,153.896,0.7695
409183335,7174,,81.80783445,38.59752607,225.941,
311121985,6375,159.441,85.58110664,49.51375563,187.823,2.1665
116608612,8170,258.768,85.66322321,35.1857962,267.683,3.777
354006740,6170,162,88.36929999,37.33905077,66.5241,0.23325
312122956,,,88.47596117,30.4460596,4488.38,1671.21
368536386,7185,268.98,89.4201944,36.76581339,428.948,6.985
353367071,7895.71,147.389,89.93486334,33.50699714,402.261,8.8495
353475866,3474,157,90.30846478,34.77316688,30.7947,0.0391
468828873,6064,132.084,91.87226195,66.85785449,281.902,4.53
339538183,7235,,93.31895205,63.68500525,294.292,
241225337,5566,147.029,93.55853277,53.13617141,115.362,0.613
445805961,5675,125.767,94.28275636,76.21078059,81.2271,0.17695
138168780,6724,163.988,94.79321242,73.82766444,235.479,2.418
86396382,6154,105.682,97.63665283,29.6722962,427.246,5.9855
396740648,5058,122.082,97.74821094,66.36068325,124.68,0.587
190223929,7697.19,112.178,98.50298575,41.90081287,756.791,27.2675
274215536,4685.12,111.564,99.89814368,42.13156899,123.643,0.71
15863518,5097.55,102.693,100.5206503,39.8431806,138.371,0.93
240148934,6582,123.814,101.3820736,31.46565516,291.007,5.6945
149833117,6578,122.817,104.6285326,67.67729428,188.086,1.895
14336130,5878.6,140.689,105.0829291,56.82443485,104.158,0.81
318022259,3691,157,107.8664288,48.33038926,35.6917,0.0833
371234684,6193,137.448,110.1685677,37.14065078,455.203,8.8015
51234631,6304,139.541,110.3881675,58.26808658,272.655,2.8845
371210825,4252.94,105.282,111.5595692,32.38414683,103.107,1.187
470987100,3876,157,111.8014993,53.04508676,74.7599,0.23155
257241363,5378,134.564,112.0181354,30.3224034,52.3044,0.0936
239154970,6642.28,107.253,113.1842378,33.83503278,396.11,7.5075
453387619,5747.59,140.538,113.8744994,49.47821313,198.501,2.0215
85242435,6137,125.174,114.3452895,61.15417828,136.419,0.8415
95129101,6621.86,137.686,114.9328477,28.12016785,343.469,5.973
71347873,3668,157,115.5927957,70.40459654,62.7576,0.12815
241173474,6259,123.607,116.1072936,43.00919653,235.782,2.5055
71431780,5777,124.977,116.7971387,68.47663145,100.727,0.2915
356473034,5267,152.738,117.0269692,50.22581142,154.273,1.446
130181866,5694.11,153.429,117.4794185,27.36318294,22.4035,0.0225
29119552,6157,133.993,118.6298095,45.80801537,268.655,8.506
53427308,5846,128.126,118.8819191,54.59663986,251.27,2.552
285048486,3907,157,120.6106263,64.79692529,60.798,0.13635
461662295,5326,119.997,124.4469306,51.01058012,112.978,0.4275
22705558,5654.41,132.341,125.1887773,46.20371485,205.283,1.9335
23650642,5523.99,107.591,126.0884702,42.10499219,189.762,1.891
81212286,3541,157,127.033289,56.4275617,58.3171,0.1227
