TICid,Tsys,freq
376353509,461.9383465242501,170
376353509,400.55477123756384,180
376353509,349.91923297472226,190
81831095,1554.7876917428741,110
81831095,1258.269991265259,120
81831095,1035.6026714597658,130
81831095,864.4828930351267,140
81831095,730.4174448188455,150
81831095,623.6668436483984,160
81831095,537.40163111658,170
81831095,466.8270791337452,180
81831095,408.4526400048447,190
458914949,1533.7109581187258,110
458914949,1240.7025053694804,120
458914949,1020.8046024279246,130
458914949,851.9501027455783,140
458914949,719.7286094310699,150
458914949,614.4819256171463,160
458914949,529.4587821643048,170
458914949,459.9078054712856,180
458914949,402.38003435853216,190
82010657,1607.704101386245,110
82010657,1305.408562086757,120
82010657,1077.4743371362636,130
82010657,901.6779845393783,140
82010657,763.4837401563263,150
82010657,653.1055825511947,160
82010657,563.6716897728834,170
82010657,490.3236420540205,180
82010657,429.5040926377632,190
316254876,1588.0404434598963,110
316254876,1297.069564109957,120
316254876,1076.6328915543556,130
316254876,905.7126113788826,140
316254876,770.5843964125045,150
316254876,662.0328336015587,160
316254876,573.5641336847186,170
316254876,500.62059154719066,180
316254876,439.8086185650086,190
285677945,1351.8687654917985,110
285677945,1087.160743606098,120
285677945,889.9072469369548,130
285677945,739.432510754701,140
285677945,622.2123105665135,150
285677945,529.4752251779959,160
285677945,454.8650340076875,170
285677945,394.094275064655,180
285677945,343.9985344883323,190
104208182,1423.6344670747637,110
104208182,1149.2010816251,120
104208182,943.8590399615855,130
104208182,786.5701049055658,140
104208182,663.7118642737806,150
104208182,566.0459113270782,160
104208182,487.30124912662455,170
104208182,422.9906570871526,180
104208182,369.8444005726757,190
431899140,1199.319741926288,110
431899140,960.4161507361807,120
431899140,783.1521831965266,130
431899140,648.4227290751267,140
431899140,543.9600859276986,150
431899140,461.4981812792946,160
431899140,395.4753101804759,170
431899140,341.8771049417575,180
431899140,297.872401488362,190
87090944,1405.7000934576256,110
87090944,1136.6422989223888,120
87090944,934.8888056364596,130
87090944,780.0051730170185,140
87090944,658.7377006438722,150
87090944,562.1969509646564,160
87090944,484.2221121906744,170
87090944,420.443164412566,180
87090944,367.68264215460124,190
266500992,1517.1221891967527,110
266500992,1233.896412408974,120
266500992,1020.084394961351,130
266500992,854.9334141896593,140
266500992,724.9216235721552,150
266500992,620.8737201883835,160
266500992,536.4311951994082,170
266500992,467.0585689473817,180
266500992,409.4615200658727,190
73104318,1333.7629797602244,110
73104318,1075.4376577156258,120
73104318,882.4079854151636,130
73104318,734.7023182532923,140
73104318,619.3969203957608,150
73104318,527.8540063674062,160
73104318,454.0757195290287,170
73104318,393.85856272202864,180
73104318,344.151236960188,190
102672709,1221.7031333647462,110
102672709,983.1665002570769,120
102672709,805.1898036701525,130
102672709,669.2501132869401,140
102672709,563.3760346842508,150
102672709,479.48540737407353,160
102672709,412.0369121196136,170
102672709,357.0767614705796,180
102672709,311.7946912495621,190
103195323,962.1925979888774,110
103195323,767.6697921301211,120
103195323,623.8748236548405,130
103195323,514.9715514757871,140
103195323,430.86873330792133,150
103195323,364.7309640976085,160
103195323,311.9765057904047,170
